year,file_name,employee_num
2016,1031093_000107997317000033_svbl_10k-103116.htm.txt,3
2016,1489874_000155837017001413_ggro-20161231x10k.htm.txt,1
2016,1490490_000121390016015390_f10k2016_magnolialane.htm.txt,0
2016,13156_000156459017006563_glxz-10k_20161231.htm.txt,25
2016,1652926_000165292617000002_rareit3-20161231x10k.htm.txt,0
2016,1084991_000108499117000015_ngs-2016x10k.htm.txt,217
2016,1651577_000147793216012416_cpst_10k.htm.txt,0
2016,40533_000004053317000006_gd-2016123110k.htm.txt,98800
2016,1207074_000104746917003676_a2232232z10-k.htm.txt,17750
2016,1178670_000156459017001649_alny-10k_20161231.htm.txt,514
2016,1580485_000162746917000005_vapetek10k_1231.htm.txt,2
2016,1278680_000143774917003236_iau20161231_10k.htm.txt,0
2016,64996_000006499617000004_mcy-20161231x10k.htm.txt,4200
2016,1170797_000138713117001752_mep03-10k_123116.htm.txt,399
2016,1335493_000121390016017493_f10k2016_provisionholding.htm.txt,3
2016,1613685_000147793218001314_tmin_10k.htm.txt,0
2016,892537_000089253717000004_mant12-31x201610k.htm.txt,7000
2016,81018_000008101817000003_psco1231201610k.htm.txt,2575
2016,95574_000143774917003024_sgc20161231_10k.htm.txt,1632
2016,834285_000095015917000077_rfb10k.htm.txt,306
2016,1507605_000110465917021458_a17-1184_110k.htm.txt,15
2016,1384072_000138407217000044_vnr-20161231x10k.htm.txt,357
2016,1449447_000160706216001077_entb083116form10k.htm.txt,1
2016,1448301_000093905716000989_ancb10-k20160630.htm.txt,107
2016,77476_000007747617000010_pepsico201610-k.htm.txt,264000
2016,1488613_000156459017003255_fmi-10k_20161231.htm.txt,535
2016,1546853_000147793217000776_skky_10k.htm.txt,5
2016,1611277_000121390017003856_f10k2016_helixtcsinc.htm.txt,57
2016,1529804_000147793217001557_aroga_10k.htm.txt,0
2016,1388410_000138841018000030_20161231form10kprlxfinal.htm.txt,29
2016,1083706_000072174817000452_exnt10k071117.htm.txt,0
2016,1624322_000143774917004904_bfbi20161231_10k.htm.txt,208
2016,48039_000004803917000015_hfc12-31x201610k.htm.txt,2676
2016,1393540_000118518517000941_igennetworks10k123116.htm.txt,8
2016,1019650_000101965017000011_centrue10-k123116.htm.txt,214
2016,4447_000156459017002225_hes-10k_20161231.htm.txt,2304
2016,866729_000086672916000030_schl5312016-10k.htm.txt,6500
2016,56868_000119312517126669_d300492d10k.htm.txt,155
2016,915358_000091535816000038_sgma-20160430x10k.htm.txt,2790
2016,1564822_000156482217000011_annualreport2016122510-k.htm.txt,5100
2016,1157817_000121390017003904_f10k2016_sitomobileltd.htm.txt,69
2016,1162461_000143774917004609_cutr20161231_10k.htm.txt,297
2016,1055726_000105572617000013_ino-12312016x10k.htm.txt,239
2016,1466815_000146681517000007_abcd10-k.htm.txt,619
2016,874761_000087476117000003_a2016form10-k.htm.txt,4300
2016,1007273_000138713117001160_bsc-10k_123116.htm.txt,74
2016,1507181_000155479517000243_myhi0602form10k.htm.txt,0
2016,1498547_000149854717000015_ccptiv1231201610k.htm.txt,350
2016,1116132_000111613216000026_coh7022016-10k.htm.txt,700
2016,1466301_000155837017000902_clvs-20161231x10k.htm.txt,278
2016,1601548_000160154817000007_vec-1231201610xk.htm.txt,5600
2016,1006281_000114420417015083_v461290_10k.htm.txt,232
2016,47518_000121465916014806_hr111516410k.htm.txt,10000
2016,904163_000119312517078162_d424312d10k.htm.txt,4597
2016,1520006_000152000617000074_mtdr10-k12312016.htm.txt,165
2016,1609139_000155479517000139_innd0324form10k.htm.txt,5
2016,1035748_000103574817000006_cald-12312016x10k.htm.txt,1113
2016,1368365_000136836517000014_mark_2016xformx10-k.htm.txt,295
2016,54187_000120677416007318_jwmays2989678-10k.htm.txt,30
2016,1014111_000101411117000007_imn1231201610-k.htm.txt,167
2016,1671077_000164033417000561_medspa_10k.htm.txt,0
2016,1069996_000156276217000034_c996-20161231x10k.htm.txt,381
2016,1618921_000114036116083198_form10k.htm.txt,400000
2016,1047335_000104733517000042_nhc2016form10k.htm.txt,14450
2016,1422059_000166357717000064_mainbody.htm.txt,4
2016,724004_000143774917010820_mlab20170331_10k.htm.txt,381
2016,1339048_000133904817000008_wnr12311610k.htm.txt,7134
2016,1505155_000162828017003190_a201610-k.htm.txt,251
2016,1302215_000130221517000027_hli-03312017x10k.htm.txt,430
2016,1086745_000114420416115014_v442269_10k.htm.txt,72
2016,706863_000070686317000014_unb10k123116.htm.txt,191
2016,1091667_000109166717000030_chtr123116-10k.htm.txt,91500
2016,1288403_000156459017003182_wti-10k_20161231.htm.txt,302
2016,1101865_000139390517000097_nmxs_10k.htm.txt,20
2016,1453099_000147793216012704_cbbt_10k.htm.txt,2
2016,1267130_000126713017000014_cab-2016x10k.htm.txt,19100
2016,1282631_000155837017002349_nlst-20161231x10k.htm.txt,95
2016,1173281_000138713116008696_ohrp-10k_093016.htm.txt,14
2016,1078207_000107820717000009_nautilus10-k2016.htm.txt,469
2016,1044777_000119312517078799_d363884d10k.htm.txt,613
2016,1427644_000109991022000217_telcocuba_10k.htm.txt,2
2016,1326428_000132642817000008_linnform10-k2016.htm.txt,1500
2016,1619250_000119312517049373_d334334d10k.htm.txt,82
2016,1496454_000156459017004635_chp-10k_20161231.htm.txt,0
2016,820608_000165495417003379_qtxb10k_dec312016.htm.txt,0
