cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1800,2017,1800_000104746918000856_a2234264z10-k.htm.txt,0.02330446,0.016378906,0.026566245,0.019590758,0.09682837,0.12333612,0.036718424,0.072810225,0.016578028,0.056636468,0.040840384,0.026948528,0.04278048,0.02659484,0.052932695,0.11213389,0.0350915,0.04562495,0.09627032,0.032034382
2178,2017,2178_000000217818000009_a2017form10-k.htm.txt,0.015009975,0.035067815,0.06473015,0.016893234,0.086693585,0.01790148,0.028244581,0.01701459,0.14068566,0.08265739,0.02682538,0.014013664,0.10096459,0.029046778,0.038261965,0.06905487,0.019555015,0.03678358,0.08811909,0.07247657
2186,2017,2186_000165495418002205_rwc_10k.htm.txt,0.023920657,0.017364012,0.009340043,0.01282013,0.08921847,0.024672804,0.03606556,0.086892836,0.047078464,0.06364257,0.041958187,0.004932004,0.0057526845,0.011196858,0.05558808,0.120489225,0.01068502,3.1033363e-05,0.31202713,0.026324224
2488,2017,2488_000000248818000042_amd-12302017x10k.htm.txt,0.056176115,0.02957979,0.039437205,0.023894457,0.056393348,0.040533714,0.030461004,0.046364576,0.04314506,0.060158215,0.08638142,0.037976258,0.05167652,0.064063385,0.04225361,0.072330266,0.0065191793,0.055213254,0.10567226,0.05177038
2969,2017,2969_000000296917000039_apd-10xkx30sep2017.htm.txt,0.032627944,0.009578901,0.09635818,0.01191347,0.093089715,0.011144176,0.038156476,0.0200132,0.094523326,0.046406265,0.03707187,0.014344851,0.120021276,0.02079691,0.09311883,0.06862267,0.010337174,0.05079864,0.08214834,0.04892774
3197,2017,3197_000156459018005085_cece-10k_20171231.htm.txt,0.04513197,0.0189397,0.09813835,0.011772874,0.10294544,0.009213742,0.023440177,0.039762467,0.051328596,0.04265727,0.06727624,0.024945065,0.13196598,0.018473659,0.061541077,0.06195807,0.010177378,0.038657345,0.080461025,0.061213605
3499,2017,3499_000000349918000006_alx10-k123117.htm.txt,0.0645869,0.020799538,0.056928903,0.015726067,0.068214,0.011600501,0.029779471,0.031005133,0.019824315,0.08113724,0.0119275935,0.027194288,0.07482641,0.050508283,0.048923444,0.02270378,0.0257725,0.09703538,0.15403964,0.08746662
3545,2017,3545_000000354517000091_alco-93017x10k.htm.txt,0.06915206,0.013231659,0.079894535,0.0064844545,0.096786514,0.01465709,0.028320806,0.03111537,0.052336838,0.0614021,0.032898806,0.04971082,0.09045801,0.027716141,0.03765759,0.043954544,0.014230413,0.06316016,0.12452845,0.062303606
3570,2017,3570_000000357018000031_cei2017form10-k.htm.txt,0.059292603,0.01761925,0.041898534,0.010544431,0.0520672,0.022321299,0.038049735,0.031888187,0.11828529,0.10148927,0.044218823,0.034961186,0.056554653,0.03621833,0.043040078,0.015917057,0.004991057,0.07948801,0.11530459,0.07585043
4127,2017,4127_000000412717000033_fy1710k92917.htm.txt,0.03274476,0.010751064,0.05524662,0.016543135,0.05215275,0.02597442,0.036518168,0.082684495,0.06724164,0.050758123,0.07040729,0.01126699,0.09465244,0.045944598,0.074123755,0.08336545,0.007291385,0.022490352,0.12948878,0.030353803
4447,2017,4447_000156459018002698_hes-10k_20171231.htm.txt,0.030080827,0.02511487,0.05461138,0.020314058,0.12088945,0.023940828,0.02908652,0.01696692,0.14342384,0.04814278,0.032038342,0.021701103,0.11859358,0.032821395,0.09660782,0.03806015,0.010407051,0.053878088,0.05301557,0.030305428
4457,2017,4457_000000445718000016_March201810K.htm.txt,0.01900201,0.017995628,0.06324729,0.019653272,0.14145584,0.0057023065,0.040542465,0.035080038,0.03278168,0.04942393,0.03685008,0.012990656,0.08112045,0.026841039,0.058948033,0.075452015,0.04061864,0.114442885,0.06842479,0.05942692
4904,2017,4904_000000490418000009_aep10klegal20174q.htm.txt,0.03254629,0.024369018,0.053992514,0.058953088,0.015476056,0.019886494,0.0267797,0.044532645,0.15044165,0.11209427,0.047636215,0.02610713,0.02905103,0.027790252,0.024229474,0.047766726,0.011762579,0.0624688,0.103951395,0.08016468
5513,2017,5513_000000551318000016_unm12312017-10xk.htm.txt,0.027556926,0.038600333,0.09382458,0.013966406,0.04103024,0.011318666,0.019411698,0.035580024,0.0029712117,0.05816352,0.039252046,0.019594913,0.13175113,0.010812621,0.08495797,0.06737261,0.08615549,0.10984657,0.084112786,0.023720216
6176,2017,6176_000156459018006027_ap-10k_20171231.htm.txt,0.045810543,0.024035426,0.10313893,0.012463721,0.059315234,0.009233134,0.038426243,0.014340955,0.04700145,0.045137014,0.042166207,0.024553116,0.11698587,0.033973202,0.16407633,0.051213466,0.03435178,0.0386621,0.0594813,0.035633944
6201,2017,6201_000000620118000009_a10k123117.htm.txt,0.04902716,0.030286849,0.0629723,0.016507259,0.052947428,0.008034071,0.044926807,0.033657536,0.044144135,0.095225364,0.03578614,0.03369222,0.05581517,0.035377644,0.06403122,0.056768537,0.029848253,0.05846854,0.124275945,0.06820745
6207,2017,6207_000114420417037145_v469924_10k.htm.txt,0.045714065,0.014473358,0.03824798,0.008443407,0.09958884,0.005529804,0.02958343,0.08464312,0.03673283,0.014485363,0.022357386,0.06913073,0.09066532,0.0416674,0.03009891,0.06350128,0.013405316,0.048353277,0.12565792,0.11772026
6951,2017,6951_000000695117000038_amat1029201710-kq42017.htm.txt,0.021627875,0.017773237,0.080913305,0.011484118,0.06496691,0.0143910255,0.017562471,0.06573085,0.071498886,0.030524928,0.082705654,0.022630574,0.09965888,0.086219035,0.07643812,0.07583792,0.008207512,0.042206258,0.07886064,0.030761797
7623,2017,7623_000143774918001906_artw20171130_10k.htm.txt,0.04892674,0.043413583,0.06955229,0.012847166,0.09142007,0.02802077,0.061711624,0.041059703,0.07453897,0.01741515,0.0734535,0.048924673,0.039947137,0.025889065,0.029603383,0.11721627,0.007960409,0.05988845,0.020296011,0.08791505
8063,2017,8063_000000806318000006_atro-20171231x10k.htm.txt,0.040623207,0.02048262,0.07018964,0.025566068,0.06887438,0.016328922,0.029442457,0.05283586,0.029526118,0.047446225,0.050201308,0.023335803,0.15043455,0.046973825,0.045313023,0.07031242,0.013743194,0.03851097,0.090438105,0.069421336
8146,2017,8146_000119312518113108_d518979d10k.htm.txt,0.020050928,0.02206378,0.035391428,0.02630089,0.103940755,0.019194122,0.033888176,0.06087107,0.050029837,0.04258413,0.08152109,0.031815827,0.06727276,0.020396791,0.062039882,0.09845768,0.004402918,0.049571007,0.12552924,0.044677705
8177,2017,8177_000114036118015001_h10051668x1_10k.htm.txt,0.058075015,0.03294165,0.11045669,0.014303996,0.06835423,0.008203963,0.012423837,0.027761962,0.011490765,0.037927795,0.025038196,0.02297491,0.16634025,0.015886435,0.07912885,0.02952399,0.080699876,0.06940174,0.058991965,0.07007384
8504,2017,8504_000158069518000161_enrj-10k_123117.htm.txt,0.07685468,0.02954546,0.025512941,0.009923032,0.036489245,0.016147269,0.016335031,0.06735512,0.15360504,0.0694166,0.01666944,0.028623892,0.048212934,0.028814482,0.015668131,0.04432832,0.008899565,0.03665818,0.23950395,0.031436644
8858,2017,8858_000000885817000057_avt-20170701x10k.htm.txt,0.039778043,0.017334336,0.06471127,0.01376862,0.13390596,0.0056965975,0.018180432,0.03084087,0.022421006,0.0782446,0.05957296,0.021945314,0.12461562,0.008494686,0.11060726,0.04561289,0.012669685,0.05802769,0.08498325,0.048588898
8947,2017,8947_000000894718000071_azz201822810k.htm.txt,0.041321497,0.027375773,0.066643104,0.014510472,0.071821205,0.0046811374,0.02010072,0.036315285,0.060543925,0.06506818,0.07182213,0.023422785,0.10008654,0.019979678,0.10755884,0.044360146,0.0082866205,0.03238303,0.11963896,0.064079985
9326,2017,9326_000114036118011267_form10k.htm.txt,0.04337622,0.02370475,0.08220203,0.010998873,0.06639973,0.04198356,0.0223268,0.03600946,0.0733524,0.04540524,0.061975107,0.029771272,0.1033057,0.01773783,0.0889773,0.074555546,0.027400563,0.04218994,0.055238143,0.05308955
