cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1800,2019,1800_000110465920023904_abt-20191231x10k59d41b.htm.txt,0.032291748,0.020014785,0.05862623,0.016039517,0.0833662,0.08829812,0.035468124,0.046159275,0.018127413,0.068222664,0.038962454,0.02020375,0.07747453,0.020581234,0.08618459,0.07953964,0.040314283,0.05486109,0.05748036,0.05778401
2178,2019,2178_000000217820000013_ae-20191231.htm.txt,0.022127764,0.027292026,0.071625546,0.014252545,0.100497484,0.012152425,0.027467757,0.02626922,0.1329646,0.072362885,0.027049901,0.013810748,0.093014546,0.018203788,0.026824588,0.07369338,0.019115819,0.03665946,0.08291379,0.101701744
2186,2019,2186_000165495420002248_bkti_10k.htm.txt,0.012494748,0.023709271,0.0120883165,0.014281419,0.06439433,0.041277494,0.040590763,0.07103378,0.043718163,0.06369952,0.060563345,0.01109707,0.005386489,0.01080992,0.027488539,0.120027244,0.0140591,0.0029668205,0.33029962,0.030014008
2488,2019,2488_000000248820000008_amdform10-kfy2019.htm.txt,0.031990714,0.017370837,0.028800076,0.034611467,0.028430246,0.040500537,0.042177424,0.055117592,0.054148227,0.07642153,0.10560329,0.027766459,0.041684747,0.06132753,0.04249233,0.07692869,0.0074362806,0.040757205,0.13005094,0.056383885
2969,2019,2969_000000296919000051_apd-10xkx30sep19.htm.txt,0.029512757,0.0103043,0.08937801,0.013352605,0.070112616,0.011309806,0.039239082,0.024769126,0.095823765,0.058526844,0.03631234,0.011250799,0.10677906,0.023385428,0.107359655,0.05592129,0.010267761,0.044642072,0.08524415,0.07650857
3197,2019,3197_000156459020008551_cece-10k_20191231.htm.txt,0.042321365,0.01946676,0.065257154,0.017067987,0.05930161,0.011132185,0.026209451,0.050872613,0.06775086,0.038356785,0.09790876,0.019906776,0.11558948,0.016864622,0.05906427,0.05406701,0.010102009,0.044091623,0.1144645,0.07020421
3499,2019,3499_000000349920000005_alx10-k123119.htm.txt,0.060474627,0.021630397,0.028878186,0.018348323,0.053753097,0.007782702,0.03723121,0.02988305,0.019018235,0.09252004,0.012482711,0.024475697,0.07146824,0.056346204,0.048662905,0.022268869,0.027061274,0.10396208,0.17691706,0.08683508
3545,2019,3545_000000354519000143_alco-93019x10k.htm.txt,0.0926334,0.015412741,0.057118185,0.011164166,0.0974288,0.014107498,0.020203747,0.028585417,0.04631728,0.048224755,0.028221179,0.08832342,0.06006905,0.03521525,0.050170187,0.046089675,0.018611306,0.056756306,0.12163215,0.063715495
3570,2019,3570_000000357020000043_cei2019form10k.htm.txt,0.0611269,0.019488387,0.033071015,0.008715448,0.052476924,0.01795171,0.04191677,0.03057974,0.115272574,0.097779855,0.0339707,0.031687345,0.048743147,0.034397162,0.03109901,0.025267972,0.007398979,0.087114654,0.1348686,0.08707309
4127,2019,4127_000000412719000049_fy1910k92719.htm.txt,0.029528838,0.011382714,0.061202787,0.023281636,0.034026094,0.027679628,0.038309455,0.08702001,0.069634885,0.055816878,0.07676185,0.008892905,0.07403477,0.049413703,0.06564671,0.08115373,0.005974778,0.02539202,0.13538803,0.03945861
4447,2019,4447_000156459020005545_hes-10k_20191231.htm.txt,0.029401518,0.025457576,0.051605273,0.020743053,0.100577086,0.023767153,0.028425261,0.018511543,0.13594846,0.05166629,0.034995805,0.023359861,0.11428401,0.035124786,0.0888631,0.03629393,0.010392616,0.051311497,0.06308721,0.05618394
4457,2019,4457_000000445720000053_uhal-20200331.htm.txt,0.0147183435,0.014377608,0.058703233,0.019697098,0.11933106,0.006881034,0.043479048,0.03788667,0.035807524,0.04652575,0.042024408,0.008378648,0.10158805,0.020688465,0.051800933,0.07778005,0.0469029,0.09519939,0.08841189,0.069817856
4904,2019,4904_000000490420000007_aep10klegal20194q.htm.txt,0.032398462,0.025009776,0.054790556,0.057894528,0.016041704,0.018206801,0.030805612,0.046960954,0.15514736,0.100979574,0.0525705,0.024923733,0.030364506,0.02549419,0.023557952,0.045291986,0.009385541,0.06785942,0.10483511,0.07748171
5513,2019,5513_000000551320000027_unm-20191231.htm.txt,0.02333658,0.040482253,0.094763145,0.013759086,0.05474841,0.011912579,0.01879007,0.034629762,0.0030842875,0.052167196,0.040741842,0.020927818,0.13963132,0.0120444475,0.08230737,0.061201904,0.07982389,0.11073623,0.07727548,0.02763634
6176,2019,6176_000156459020011218_ap-10k_20191231.htm.txt,0.06310866,0.030768426,0.092005596,0.010849099,0.057694897,0.012009249,0.03993396,0.011985592,0.054232366,0.028095953,0.040309038,0.026256578,0.11891598,0.027437154,0.11034315,0.06885093,0.03432006,0.05197033,0.06646756,0.05444545
6201,2019,6201_000000620120000023_a10k123119.htm.txt,0.050235678,0.03597567,0.063245654,0.018044053,0.03183354,0.008988238,0.04902686,0.033413935,0.047701616,0.088843346,0.04375997,0.03913209,0.06263481,0.038906243,0.048577756,0.050424878,0.024480117,0.06730689,0.13206553,0.065403126
6207,2019,6207_000114420419036278_tv525138_10k.htm.txt,0.036897846,0.028346708,0.02181367,4.151836e-05,0.1278667,0.0037590382,0.05356633,0.09289011,0.013842701,0.011099182,0.014280903,0.08451351,0.09487985,0.041290738,0.03185344,0.05814355,0.014079337,0.0990703,0.09365889,0.0781057
6951,2019,6951_000000695119000046_amat-20191027.htm.txt,0.02714509,0.020256419,0.07526113,0.011662662,0.072589934,0.014821537,0.019889934,0.053966936,0.06495021,0.036526468,0.08089136,0.020393372,0.10410758,0.082226515,0.079287075,0.0678587,0.0078024315,0.04682275,0.07693523,0.036604673
7623,2019,7623_000143774920001888_artw20191130_10k.htm.txt,0.042016976,0.03657364,0.047295753,0.011632909,0.1106533,0.018315202,0.0559683,0.033505253,0.06136125,0.013119184,0.06740765,0.033011284,0.06385013,0.022627909,0.025554156,0.11658494,0.009079018,0.052081775,0.02083588,0.15852551
8063,2019,8063_000000806320000013_atro-20191231.htm.txt,0.033908464,0.01703602,0.061264466,0.020882636,0.09124549,0.013865814,0.026089102,0.04539428,0.027557723,0.037171133,0.047968708,0.02330246,0.13437934,0.03911168,0.049456794,0.07990289,0.010399986,0.043776207,0.08952359,0.1077632
8146,2019,8146_000119312520103834_d816550d10k.htm.txt,0.007463731,0.023181625,0.024434099,0.032652367,0.057694107,0.026127327,0.036952533,0.05838758,0.07079088,0.04969226,0.098701075,0.021417553,0.05110858,0.023068588,0.05622269,0.08131702,0.008661669,0.0396171,0.19158125,0.040928
8177,2019,8177_000114036120006734_hc10009874x1_10k.htm.txt,0.0505838,0.030040514,0.110627875,0.017107865,0.07217659,0.008440079,0.0107501,0.025566943,0.009364356,0.04418592,0.03321618,0.02466065,0.16181938,0.013359054,0.0738302,0.030456807,0.079094164,0.06961048,0.06440511,0.07070398
8504,2019,8504_000157570520000043_uavs_10k19.htm.txt,0.050421108,0.012774338,0.021195542,0.019596012,0.019324461,0.050547503,0.034105834,0.14695956,0.060557384,0.029944241,0.1445944,0.0380497,0.029935913,0.032891378,0.010677932,0.0649253,0.014767872,0.012410313,0.1611735,0.04514775
8858,2019,8858_000000885819000035_avt-20190629x10k.htm.txt,0.03061919,0.015459172,0.071769655,0.013571915,0.11853974,0.009946497,0.022434795,0.035093464,0.028124241,0.09093477,0.06520498,0.0104062185,0.10191584,0.00905928,0.1059224,0.05184694,0.012086368,0.05564951,0.091092326,0.060322672
8947,2019,8947_000000894720000045_azz2020022910-k.htm.txt,0.037849035,0.027221225,0.083110735,0.012910655,0.045595486,0.010812382,0.020338664,0.03663122,0.050743505,0.044636305,0.09158962,0.02556277,0.11709267,0.015095513,0.07009078,0.04254248,0.011243988,0.034421932,0.10866896,0.11384214
9326,2019,9326_000162828020001968_bcpc-20191231.htm.txt,0.027021602,0.023647094,0.102973744,0.00863915,0.043555636,0.039166745,0.02324473,0.0364865,0.063728504,0.03799289,0.060221657,0.020735746,0.12194373,0.020146962,0.087851994,0.063014396,0.019589176,0.068628795,0.06858726,0.06282368
9389,2019,9389_000155837020001005_bll-20191231x10k1a847a.htm.txt,0.022822449,0.026399152,0.09132234,0.0087695755,0.0547514,0.01242118,0.03626146,0.035353128,0.069541566,0.05219163,0.05075814,0.0116585335,0.114083484,0.032896888,0.087644696,0.056152385,0.015995309,0.054449845,0.07675974,0.089767136
10254,2019,10254_000001025420000038_este-12312019x10k.htm.txt,0.047450926,0.023364466,0.05551561,0.013671962,0.035249162,0.014422111,0.029269405,0.026889343,0.17133291,0.103957064,0.025644388,0.03369225,0.1060182,0.03209989,0.052001733,0.025306933,0.007000399,0.035862323,0.1260684,0.03518248
10329,2019,10329_000143774920001052_bset20191130_10k.htm.txt,0.02154692,0.022194017,0.06180789,0.013971521,0.06897542,0.0074603492,0.052717254,0.023907673,0.059671104,0.032254368,0.07262198,0.02840355,0.13917291,0.018276105,0.03983385,0.14051881,0.014021877,0.029886177,0.058173727,0.09458446
10456,2019,10456_000162828020003693_bax-20191231.htm.txt,0.028742723,0.012214248,0.0750071,0.019060072,0.08974731,0.048847232,0.028245268,0.037536893,0.026819233,0.067832366,0.051488638,0.028074503,0.070120364,0.026130985,0.14105408,0.04490907,0.02212932,0.03425016,0.096137196,0.051653188
13156,2019,13156_000156459020013685_glxz-10k_20191231.htm.txt,0.10679471,0.025784375,0.06568266,0.019251445,0.04029384,0.0437041,0.035903975,0.043199923,0.02061522,0.08097406,0.08488589,0.11273702,0.04845359,0.054774355,0.02435927,0.035289384,0.006642944,0.029858857,0.046668693,0.074125744
14177,2019,14177_000149315220001049_form10-k.htm.txt,0.011034486,0.006054074,0.03171341,0.016791074,0.13695882,0.023743311,0.029002104,0.06105454,0.11688909,0.044598583,0.07338483,0.009379081,0.028291406,0.007139595,0.027573997,0.19243222,0.01950286,0.008945803,0.13219163,0.023319095
14707,2019,14707_000143774920006641_cal20200201_10k.htm.txt,0.036202233,0.028390821,0.059908368,0.012076745,0.07881775,0.016576927,0.04359293,0.038650293,0.04197969,0.04039572,0.048010398,0.03105263,0.111103706,0.01906055,0.041197892,0.1614048,0.012232517,0.039707534,0.080790006,0.058848463
14846,2019,14846_000001484620000010_brt-20191231.htm.txt,0.079390585,0.026957072,0.06891248,0.0063509294,0.06978633,0.010003453,0.01290809,0.030930169,0.008750641,0.057896573,0.01926589,0.030231271,0.07377695,0.11927288,0.043366242,0.025129663,0.022659445,0.124564484,0.12858525,0.04126162
15357,2019,15357_000114420419046469_tv529774_10k.htm.txt,0.043409824,0.014523966,0.049709868,4.8413654e-05,0.20351684,4.8413654e-05,0.04641083,0.021336894,0.05285667,0.014905356,0.031427477,0.075855635,0.04541711,0.0040675434,0.046041396,0.1866454,0.008261568,0.01795729,0.031625796,0.10593375
15847,2019,15847_000143774919014273_buks20190331_10k.htm.txt,0.06025737,0.0342593,0.089655235,0.008177317,0.053278934,0.017372599,0.02580118,0.03453602,0.045800965,0.067658484,0.065000795,0.025558816,0.057372868,0.019285023,0.03916502,0.040631223,0.021502882,0.032911964,0.14834082,0.113433145
16040,2019,16040_000156459019044207_cbt-10k_20190930.htm.txt,0.023746034,0.008701817,0.067347705,0.0113244485,0.07569584,0.015241771,0.039608132,0.02948857,0.09149931,0.054415386,0.051744267,0.020127367,0.10821656,0.03069566,0.12046981,0.07430543,0.013749461,0.04658076,0.075876944,0.041164692
16160,2019,16160_000001616019000048_calm-2019x06x01x10k.htm.txt,0.055544317,0.029253138,0.063974604,0.011732063,0.078652725,0.025270903,0.024522603,0.026315138,0.060093485,0.084603146,0.021292156,0.040178318,0.085225,0.044895504,0.02842538,0.13392597,0.011201418,0.02960682,0.100278005,0.045009267
16732,2019,16732_000001673219000070_cpb-7282019x10xk.htm.txt,0.03167769,0.019749377,0.10714699,0.010420053,0.10333993,0.018651199,0.02641709,0.043796584,0.046552233,0.029563336,0.04978444,0.020374807,0.1277073,0.017275037,0.07586821,0.09124718,0.022843227,0.05232689,0.07613824,0.029120212
18230,2019,18230_000001823020000056_cat10-k12312019.htm.txt,0.021669133,0.029182274,0.06736878,0.014372688,0.086448744,0.0078022545,0.041699413,0.024399647,0.06705881,0.043587577,0.05556638,0.011865972,0.077787265,0.016597552,0.09318093,0.10443147,0.020342529,0.07521407,0.09126751,0.050156992
18255,2019,18255_000001825520000005_cato-20200201.htm.txt,0.039936487,0.036434263,0.054387476,0.02683723,0.08831358,0.008172323,0.044122685,0.03651028,0.034258235,0.05382813,0.04145978,0.030579867,0.07089398,0.011144054,0.04245556,0.09426069,0.018990073,0.03549442,0.17803544,0.0538854
18349,2019,18349_000001834920000011_snv-12312019x10k.htm.txt,0.049415827,0.06006348,0.06843391,0.021425765,0.036094584,0.008852003,0.008692716,0.047361534,0.008784837,0.09925912,0.056204528,0.007455009,0.10239343,0.010894985,0.049232405,0.029683517,0.011124466,0.16972473,0.11394605,0.040957112
18498,2019,18498_000001849820000016_gcofy202010-kq4.htm.txt,0.021679576,0.022351123,0.06200601,0.022972772,0.08208754,0.012935944,0.051534798,0.02757974,0.037809934,0.05989048,0.037486393,0.038200285,0.099622495,0.022868114,0.05945508,0.101459146,0.014939724,0.030685624,0.13803118,0.05640402
19584,2019,19584_000001958420000006_che-20191231x10k.htm.txt,0.036053974,0.017649442,0.061768893,0.02308908,0.051703304,0.044462625,0.03418291,0.028633624,0.009701875,0.16061682,0.042378362,0.02238399,0.064608805,0.021136152,0.03407902,0.020954106,0.081708364,0.03283354,0.081556745,0.13049838
19745,2019,19745_000162828020002321_cpk1231201910-k.htm.txt,0.028713651,0.02201786,0.060988247,0.019479753,0.05336797,0.016566074,0.021083787,0.031198632,0.18588343,0.046816036,0.041903283,0.027038842,0.05791134,0.010428887,0.047570672,0.061595052,0.008012041,0.054130636,0.11206306,0.09323071
19871,2019,19871_000119312520080625_d873801d10k.htm.txt,0.012049769,0.016133096,0.016030869,0.03018122,0.08588681,0.0063863434,0.043615602,0.0683136,0.08678541,0.03331167,0.0931872,0.014755476,0.004057126,0.016157318,0.007902574,0.14145444,0.009224505,0.008516132,0.2897298,0.016320985
20212,2019,20212_000002021220000019_chdn-20191231.htm.txt,0.04656115,0.03831466,0.036634587,0.016877148,0.07580871,0.018594133,0.034842826,0.03877336,0.02838263,0.1284615,0.06387876,0.035254106,0.08767088,0.04923337,0.030092342,0.022133198,0.01344947,0.035616897,0.13454981,0.06487047
20520,2019,20520_000114036120007583_form10k.htm.txt,0.064755835,0.03324467,0.05410955,0.026743961,0.07445644,0.013063176,0.04227341,0.046879143,0.011100134,0.0794542,0.07610734,0.03936623,0.058854036,0.020104362,0.03890713,0.040649615,0.022398733,0.0667521,0.11272738,0.07805254
21076,2019,21076_000002107619000012_fy19clx10k.htm.txt,0.038660347,0.01587445,0.039813805,0.03527137,0.011151621,0.028094998,0.03785966,0.08081365,0.051660337,0.07026516,0.05031476,0.086804144,0.02064414,0.033520192,0.04078538,0.10131459,0.012472507,0.014482873,0.21626043,0.013935611
21175,2019,21175_000002117520000017_cna2019q4.htm.txt,0.017281232,0.036048282,0.07949562,0.011556193,0.05340119,0.0147117935,0.018621216,0.027722223,0.008683364,0.05305803,0.035119932,0.010665203,0.16308361,0.024857454,0.070546694,0.037969124,0.08583564,0.089148276,0.10556593,0.056628987
21535,2019,21535_000143774920004691_cohu20191228_10k.htm.txt,0.04184914,0.024814082,0.056602046,0.010060921,0.080463015,0.020022588,0.026882386,0.058328453,0.057044305,0.036571175,0.04756955,0.027529003,0.11614167,0.015743282,0.078323,0.0619414,0.0066293096,0.060917597,0.12198912,0.050577976
21665,2019,21665_000002166520000004_cl-12312019x10k.htm.txt,0.032691482,0.014047071,0.14500993,0.014109397,0.05024046,0.012228612,0.030198699,0.050810035,0.030678254,0.06974306,0.04184755,0.017127573,0.08477103,0.021285122,0.08525283,0.098873,0.028054547,0.03426822,0.0928298,0.045933343
22356,2019,22356_000002235620000009_cbsh1231201910k.htm.txt,0.023353672,0.052127834,0.07262509,0.01498531,0.10968927,0.006623289,0.011712464,0.02059809,0.0092903385,0.039692715,0.046361234,0.009864457,0.11943549,0.009887033,0.04679162,0.05743601,0.010427204,0.234019,0.040492017,0.06458788
23194,2019,23194_000156459020008081_crk-10k_20191231.htm.txt,0.06254405,0.02856474,0.053636584,0.009012641,0.055906724,0.009498963,0.029693797,0.032679867,0.16654085,0.08195037,0.017670797,0.0379732,0.10799103,0.023922408,0.05834459,0.02938263,0.0064364118,0.046829857,0.0991242,0.042296298
23197,2019,23197_000002319719000075_cmtl0731201910k.htm.txt,0.02202862,0.02504967,0.060134176,0.03442997,0.06193909,0.024368826,0.04463356,0.057445396,0.03286688,0.08049405,0.08913836,0.014518236,0.055494156,0.029777063,0.050801143,0.07082135,0.01255206,0.02395419,0.11479567,0.094757564
23217,2019,23217_000002321719000006_cag-2019x10k.htm.txt,0.044825207,0.015287905,0.07326087,0.011213273,0.09032553,0.02694082,0.023217268,0.036124095,0.047093652,0.057636876,0.033635247,0.040711198,0.110988855,0.03411429,0.054394376,0.069086075,0.015894556,0.049206328,0.120974556,0.045068998
23795,2019,23795_000155837020002154_cto-20191231x10k.htm.txt,0.098068975,0.02096543,0.04407868,0.0035801106,0.12891404,0.018149436,0.03054414,0.021001792,0.02072169,0.05026494,0.008098122,0.03839763,0.056440193,0.060546443,0.039172664,0.036799192,0.008340775,0.13236026,0.0904606,0.09309485
24545,2019,24545_000002454520000005_tap2019123110-k.htm.txt,0.035012066,0.016472496,0.09159907,0.008735828,0.058356345,0.013501083,0.062415324,0.03186527,0.046700742,0.053209618,0.036227647,0.018573886,0.12212709,0.03398799,0.068756714,0.08797049,0.018430868,0.043565407,0.1082657,0.044226404
25232,2019,25232_000002523220000004_form10-kdecember312019.htm.txt,0.07671026,0.028765358,0.05782056,0.007254058,0.050184052,0.0078478325,0.02690576,0.058325004,0.019945482,0.044638347,0.026872687,0.010739103,0.13140245,0.05883363,0.041349687,0.022407677,0.0143317245,0.08658827,0.13287751,0.096200585
25445,2019,25445_000162828020002133_cr-20191231x10kq4.htm.txt,0.012775431,0.014771979,0.06933444,0.015806906,0.06500361,0.020940928,0.030513363,0.03372881,0.042958915,0.07316529,0.05030976,0.015269007,0.17835201,0.033984352,0.05507201,0.07637954,0.025790023,0.032857914,0.09212421,0.060861524
25743,2019,25743_000138713120002086_txmd-10k_123119.htm.txt,0.033254683,0.013387014,0.046565685,0.029076109,0.037394594,0.18775629,0.025826018,0.05048305,0.018371947,0.13987067,0.02921971,0.030677902,0.035240214,0.05675133,0.013692098,0.04653251,0.04422036,0.023758285,0.077890396,0.060031097
26172,2019,26172_000002617220000009_cmi201910-kdocument.htm.txt,0.019899044,0.016001504,0.065848365,0.028648272,0.056891974,0.017047,0.047127467,0.0383197,0.074236505,0.052186076,0.065908566,0.016671656,0.11087172,0.032213446,0.08171921,0.08705389,0.014863945,0.042604975,0.08023291,0.051653787
