cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1800,2022,1800_000162828023004026_abt-20221231.htm.txt,0.019917434,0.025716294,0.049393002,0.022623578,0.06400723,0.09983083,0.042332325,0.038225234,0.031864945,0.08004465,0.043374076,0.01176039,0.062378805,0.0315162,0.07051001,0.09375189,0.044682004,0.032648817,0.08701197,0.048410304
2178,2022,2178_000000217823000038_ae-20221231.htm.txt,0.03927698,0.029351069,0.04677557,0.021466227,0.08474273,0.011359917,0.03117392,0.030528521,0.1302775,0.067090705,0.04347238,0.015895057,0.07759917,0.015127149,0.027086943,0.06654655,0.026381144,0.05128132,0.09943628,0.08513088
2186,2022,2186_000165495423003055_bkti_10k.htm.txt,0.05797463,0.02955113,0.042201396,0.02123409,0.051815018,0.033252418,0.038420722,0.054636188,0.049854893,0.06481326,0.068999425,0.024345327,0.045188405,0.018228257,0.05266405,0.06293288,0.015952222,0.03661349,0.17841658,0.052905645
2488,2022,2488_000000248823000047_amd-20221231.htm.txt,0.028122155,0.016470386,0.030520905,0.033058643,0.04086634,0.02940679,0.037396267,0.059572324,0.049696196,0.042286478,0.11305632,0.014404189,0.09122888,0.043091785,0.058488153,0.07544853,0.009781824,0.04736981,0.1377886,0.04194543
2969,2022,2969_000000296922000054_apd-20220930.htm.txt,0.027929703,0.011344924,0.07084462,0.014956912,0.097320765,0.0109875165,0.04049481,0.026118048,0.09290731,0.047754623,0.043146435,0.015305626,0.08158248,0.032613497,0.095585324,0.07313938,0.012314312,0.055510525,0.094818935,0.055324223
3197,2022,3197_000095017023006169_ceco-20221231.htm.txt,0.023148693,0.015754873,0.05568218,0.021347346,0.05214226,0.019018644,0.02905803,0.059385728,0.0820912,0.060934134,0.11005487,0.024939734,0.10827041,0.018595159,0.05111822,0.054292683,0.009620163,0.037792634,0.11538483,0.051368207
3499,2022,3499_000000349923000005_alx-20221231.htm.txt,0.058733355,0.018932665,0.04188904,0.019181104,0.044300504,0.010849306,0.03487512,0.032245476,0.024913931,0.08189198,0.021047262,0.014955933,0.061162267,0.04631547,0.051190186,0.025007553,0.03269424,0.09860043,0.20721623,0.07399793
3545,2022,3545_000095017022026459_alco-20220930.htm.txt,0.045466434,0.014288567,0.058208413,0.007850335,0.10969625,0.012838786,0.030355705,0.029341174,0.04245021,0.058651827,0.05351547,0.06581466,0.061468676,0.031587496,0.038837105,0.042624027,0.018851455,0.06325267,0.15754665,0.057354115
3570,2022,3570_000000357023000042_lng-20221231.htm.txt,0.04482413,0.019974472,0.050103433,0.008787988,0.060108162,0.018934485,0.04337353,0.035122335,0.13465683,0.07840087,0.045304425,0.03603782,0.05465267,0.022869755,0.044728562,0.024675138,0.010627416,0.07707405,0.10941795,0.08032599
4127,2022,4127_000000412722000038_swks-20220930.htm.txt,0.0411627,0.018052677,0.038275383,0.024603724,0.045309495,0.027077898,0.03521756,0.078086756,0.07403599,0.057421844,0.07652034,0.013335233,0.062286146,0.04531526,0.04768308,0.06422565,0.008153404,0.04586288,0.15925185,0.038122173
