cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1750,2020,1750_000110465920085310_air-20200531x10k.htm.txt,0.03073663,0.0276264,0.0641467,0.008896876,0.07050737,0.016975142,0.022592867,0.022232601,0.041005712,0.05912214,0.06273532,0.020517042,0.11352856,0.01481103,0.035977058,0.057947747,0.029494023,0.0539965,0.0965068,0.15064344
1800,2020,1800_000110465921025751_abt-20201231x10k.htm.txt,0.023365624,0.024080481,0.047353867,0.02160135,0.073817626,0.099833906,0.041303568,0.044646803,0.018742807,0.07669799,0.04753022,0.012840926,0.06556603,0.022969412,0.080063365,0.09171695,0.04620102,0.036669035,0.07350658,0.051492427
2186,2020,2186_000165495421002287_bkti_10k.htm.txt,0.01515077,0.0206256,0.006208209,0.0116967615,0.049187977,0.02962539,0.034970753,0.06681576,0.04294146,0.05603932,0.07417012,0.01633862,0.0063041905,0.009978181,0.019048246,0.1352406,0.013442483,2.8865312e-05,0.36513898,0.027047727
2488,2020,2488_000162828021001185_amd-20201226.htm.txt,0.03796993,0.017863965,0.024992984,0.032826643,0.035352755,0.037915833,0.040292304,0.05856347,0.048949283,0.051583312,0.11004407,0.02104006,0.04853657,0.04861251,0.0559404,0.07590644,0.0082228845,0.044126127,0.14735256,0.05390794
2969,2020,2969_000000296920000049_apd-20200930.htm.txt,0.02270906,0.010671046,0.08253669,0.013609241,0.08743936,0.010452137,0.03779869,0.02577545,0.09126045,0.05411926,0.03871207,0.015707798,0.088343665,0.026720012,0.10522572,0.059392612,0.011500654,0.054089677,0.09574822,0.06818814
3197,2020,3197_000156459021010416_cece-10k_20201231.htm.txt,0.023649447,0.015513538,0.06350519,0.018938478,0.059526667,0.014857544,0.027005332,0.053835206,0.07187273,0.050003283,0.10669725,0.01961973,0.12115775,0.015914558,0.054542113,0.055048693,0.011062483,0.035269067,0.12868103,0.053299922
3453,2020,3453_000155837021001909_matx-20201231x10k.htm.txt,0.03253225,0.046560504,0.06744432,0.015395845,0.064114414,0.019860694,0.063128635,0.026864786,0.044658296,0.057261173,0.05904121,0.026040098,0.07428402,0.009772239,0.06094337,0.03902094,0.032676406,0.069239125,0.120413095,0.07074862
3499,2020,3499_000000349921000005_alx-20201231.htm.txt,0.059348237,0.021325,0.03479865,0.016989356,0.061190795,0.008887733,0.032732237,0.02658212,0.01880486,0.08643365,0.014881231,0.024274006,0.07231169,0.05297566,0.0419026,0.025326123,0.032455225,0.10559241,0.18283585,0.080352604
3545,2020,3545_000156459020056379_alco-10k_20200930.htm.txt,0.0707281,0.0182778,0.06044078,0.009376573,0.097937495,0.0125663765,0.029643485,0.03192488,0.04281966,0.0458411,0.037852827,0.06917265,0.05605666,0.03605804,0.047819253,0.042654216,0.016453004,0.06102882,0.14956701,0.06378123
4127,2020,4127_000000412720000058_swks-20201002.htm.txt,0.04162733,0.0115621565,0.043291092,0.024303982,0.040828083,0.028807227,0.03944666,0.077762544,0.06998752,0.06182803,0.078511074,0.010362817,0.06549939,0.045833077,0.058546804,0.076207116,0.009820386,0.023095923,0.15579906,0.036879763
4904,2020,4904_000000490421000010_aep-20201231.htm.txt,0.035582323,0.019539388,0.08292233,0.034934837,0.10522424,0.017514216,0.022878878,0.017814089,0.08140128,0.103927776,0.037321117,0.025588548,0.082580805,0.020086857,0.053927355,0.03463612,0.01440156,0.0738397,0.05427396,0.08160467
4977,2020,4977_000000497721000047_afl-20201231.htm.txt,0.034786325,0.03182065,0.09935994,0.015329196,0.030587178,0.008657689,0.0196872,0.03709603,0.02985864,0.052545544,0.04547588,0.02889781,0.0760869,0.014064958,0.111087695,0.04756136,0.05404485,0.13175733,0.09744523,0.03384959
5513,2020,5513_000000551321000015_unm-20201231.htm.txt,0.026980583,0.0411827,0.09055388,0.014531397,0.05860714,0.014055864,0.021866612,0.031613868,0.0048874123,0.045654256,0.04592159,0.022466024,0.13651232,0.011917106,0.07492922,0.05798212,0.07733543,0.11334006,0.082425706,0.027236741
5981,2020,5981_000156459021017113_avd-10k_20201231.htm.txt,0.035577826,0.02344251,0.071460284,0.012306062,0.045640476,0.03217815,0.035024866,0.04965594,0.054353718,0.0877742,0.038274128,0.043045938,0.107581384,0.037133776,0.067758135,0.0691196,0.013897725,0.02787594,0.05582329,0.09207606
6176,2020,6176_000156459021015797_ap-10k_20201231.htm.txt,0.07446667,0.027604789,0.08092461,0.011548824,0.047378156,0.015262699,0.04018323,0.012962438,0.05158446,0.04197665,0.04138987,0.02432845,0.106581666,0.027095353,0.10260201,0.05529197,0.040755372,0.051815763,0.0994161,0.046830945
6201,2020,6201_000000620121000014_aal-20201231.htm.txt,0.06062495,0.035793032,0.06203388,0.015809733,0.04606632,0.00879212,0.039490253,0.026968764,0.041337214,0.074683286,0.042425316,0.04630106,0.06396719,0.029442418,0.043052103,0.045365784,0.03169948,0.09882893,0.1333271,0.053991076
6951,2020,6951_000000695120000048_amat-20201025.htm.txt,0.025653148,0.022090703,0.061751638,0.012975298,0.06289678,0.017037185,0.027789943,0.055446208,0.06648331,0.035465144,0.088563815,0.019548953,0.09256865,0.08349309,0.06718212,0.06560528,0.011221385,0.04639005,0.09699112,0.040846173
7332,2020,7332_000000733221000016_swn-20201231.htm.txt,0.04043421,0.03483837,0.05899353,0.011303596,0.08034128,0.015587039,0.020539505,0.033094488,0.1287265,0.072177544,0.037278637,0.02628204,0.120708704,0.020587897,0.054310203,0.040701553,0.009781909,0.060540818,0.09096764,0.04280453
7536,2020,7536_000173339121000003_arw-20201231.htm.txt,0.026437951,0.027912505,0.064543076,0.021568958,0.0574072,0.012904474,0.03865855,0.04022142,0.02995973,0.049035236,0.07096813,0.026350003,0.14085768,0.019778728,0.07538408,0.0608763,0.014249507,0.05352136,0.10855116,0.060813956
7623,2020,7623_000143774921002312_artw20201130_10k.htm.txt,0.042670228,0.033641603,0.047608767,0.013444225,0.091845065,0.019616678,0.045034476,0.040640518,0.06301169,0.015831035,0.076991156,0.03708698,0.057970565,0.0146337245,0.016075347,0.1134131,0.013092465,0.054605983,0.04254411,0.16024226
8063,2020,8063_000000806321000007_atro-20201231.htm.txt,0.031411666,0.023059022,0.05906285,0.0156677,0.08493814,0.019014578,0.02822859,0.043773938,0.028086679,0.041479494,0.050779726,0.022816133,0.12986405,0.031701777,0.053182237,0.078143336,0.015316687,0.045603056,0.10492571,0.09294462
8146,2020,8146_000119312521114283_d56468d10k.htm.txt,0.02539236,0.032805335,0.038025953,0.022937458,0.05535283,0.022729529,0.02819546,0.037075996,0.042905476,0.054083817,0.07261204,0.029286576,0.11937378,0.020495666,0.071504,0.062269844,0.014292392,0.072168574,0.12260058,0.055892337
8858,2020,8858_000000885820000025_avt-20200627x10k.htm.txt,0.0319769,0.020169936,0.07083942,0.014920464,0.076146685,0.013632997,0.024080759,0.0378877,0.027848227,0.047080517,0.068899825,0.014112795,0.11883157,0.011242113,0.10110208,0.06044322,0.0114798965,0.051856212,0.13116528,0.06628346
8868,2020,8868_000000886821000004_avp-20201231.htm.txt,0.02778699,0.01910138,0.07942526,0.01842251,0.059766173,0.015386618,0.055852648,0.050405897,0.024695564,0.042126644,0.060831953,0.020367963,0.061441585,0.028783698,0.10290094,0.09417916,0.015319526,0.034388237,0.1365119,0.052305333
8947,2020,8947_000000894721000052_azz-20210228.htm.txt,0.04421383,0.024356686,0.061186865,0.014419043,0.066545606,0.014213553,0.022876829,0.044991713,0.04624856,0.04507412,0.10136484,0.022598349,0.091995984,0.012655724,0.06695613,0.04697811,0.016272027,0.04163107,0.1314234,0.08399761
9326,2020,9326_000162828021002578_bcpc-20201231.htm.txt,0.028849656,0.022499103,0.103064194,0.008747403,0.041153304,0.040257595,0.023090355,0.046100907,0.057587266,0.044681963,0.075056195,0.020080164,0.093193874,0.017733654,0.08432353,0.054860935,0.026102545,0.07142809,0.07889648,0.062292825
10254,2020,10254_000001025421000045_este-20201231.htm.txt,0.05418259,0.025344267,0.052945428,0.01305186,0.049584713,0.014828559,0.026861941,0.0261382,0.16308549,0.09824995,0.026459053,0.034689724,0.11963813,0.028441874,0.04958644,0.02616125,0.007180032,0.037628964,0.1137301,0.032211486
10329,2020,10329_000143774921000971_bset20201128_10k.htm.txt,0.020574901,0.023821421,0.064354636,0.012875133,0.067705095,0.009407229,0.054736227,0.02656155,0.057220444,0.02998763,0.07182336,0.033749554,0.1328416,0.015307091,0.029938495,0.13222428,0.016398894,0.032507468,0.08255555,0.08540939
