cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1750,2021,1750_000110465921094125_air-20210531x10k.htm.txt,0.026990054,0.025248215,0.059813596,0.013208419,0.06009143,0.015900234,0.02362245,0.0277512,0.04216002,0.064200014,0.07241097,0.019891068,0.10543471,0.012450889,0.027769053,0.06785502,0.036949255,0.050776746,0.114344336,0.13313232
1800,2021,1800_000110465922025141_abt-20211231x10k.htm.txt,0.022904715,0.024001783,0.04277456,0.0226436,0.07947817,0.09599964,0.040540192,0.04033197,0.022520905,0.0768491,0.04523758,0.01356111,0.066616386,0.027661594,0.06646582,0.09656009,0.04727456,0.037865307,0.0782165,0.052496444
2186,2021,2186_000165495422003300_bkti_10k.htm.txt,0.06098689,0.03746743,0.04138314,0.02306971,0.051559582,0.031037327,0.037354495,0.053885322,0.050348517,0.0682945,0.06753878,0.029825497,0.04449684,0.017868191,0.05454349,0.0601716,0.015437552,0.0299388,0.17457668,0.050215613
2488,2021,2488_000000248822000016_amd-20211225.htm.txt,0.04600774,0.015832338,0.023645317,0.0346752,0.032933522,0.037427783,0.037157293,0.058826447,0.052805122,0.0593589,0.11448685,0.020232497,0.043731213,0.055964332,0.045793444,0.07510057,0.009300106,0.0379613,0.15171497,0.047045045
2969,2021,2969_000000296921000055_apd-20210930.htm.txt,0.022935506,0.012070688,0.07820696,0.015200001,0.081211336,0.0102599,0.03637144,0.02720398,0.10402529,0.04817958,0.04405898,0.01882976,0.09167908,0.027003977,0.08685864,0.06221998,0.011907114,0.052232213,0.10033665,0.06920896
3197,2021,3197_000095017022003502_cece-20211231.htm.txt,0.021904027,0.014960344,0.056214202,0.020017926,0.061463133,0.017509919,0.028033273,0.05157563,0.077697404,0.063291736,0.11045078,0.023505012,0.103670694,0.015277366,0.05063204,0.054604635,0.010365451,0.0371891,0.13334744,0.0482899
3453,2021,3453_000155837022002040_matx-20211231x10k.htm.txt,0.02841953,0.041040592,0.061255563,0.017702097,0.059842072,0.024813203,0.06575172,0.032432243,0.05187886,0.06035855,0.06989252,0.021278733,0.069092385,0.009074722,0.060834166,0.046632126,0.0322921,0.058893107,0.12713477,0.061380997
3499,2021,3499_000000349922000004_alx-20211231.htm.txt,0.059177287,0.02115638,0.038454536,0.020505086,0.0345821,0.010466678,0.033450916,0.030433245,0.024194948,0.08975587,0.0169267,0.016948765,0.06625177,0.049764022,0.0473295,0.026848042,0.028741848,0.10037611,0.22149417,0.06314202
3545,2021,3545_000156459021059499_alco-10k_20210930.htm.txt,0.053603634,0.018690336,0.051285516,0.007285133,0.10032125,0.01877704,0.033579715,0.033597432,0.044612855,0.056242473,0.05498107,0.053125303,0.059937388,0.032004207,0.040450152,0.043840684,0.027118985,0.059424218,0.15058565,0.060536947
4127,2021,4127_000000412721000058_swks-20211001.htm.txt,0.037602838,0.016350783,0.03950573,0.02418687,0.046190176,0.026301043,0.035014756,0.07968839,0.06676287,0.05695767,0.07609858,0.011339102,0.07512082,0.043344107,0.050449558,0.064007886,0.00820803,0.045800928,0.15867639,0.038393475
