cik,year,file_name,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19
1750,2022,1750_000110465922081498_air-20220531x10k.htm.txt,0.032494128,0.024972148,0.061573636,0.014276328,0.06640339,0.016793597,0.02676237,0.029629182,0.04417373,0.05961974,0.06792755,0.019174464,0.10283223,0.01521816,0.026222512,0.06439516,0.035456974,0.045372404,0.11298719,0.13371514
1800,2022,1800_000162828023004026_abt-20221231.htm.txt,0.019917434,0.025716294,0.049393002,0.022623578,0.06400723,0.09983083,0.042332325,0.038225234,0.031864945,0.08004465,0.043374076,0.01176039,0.062378805,0.0315162,0.07051001,0.09375189,0.044682004,0.032648817,0.08701197,0.048410304
2186,2022,2186_000165495423003055_bkti_10k.htm.txt,0.05797463,0.02955113,0.042201396,0.02123409,0.051815018,0.033252418,0.038420722,0.054636188,0.049854893,0.06481326,0.068999425,0.024345327,0.045188405,0.018228257,0.05266405,0.06293288,0.015952222,0.03661349,0.17841658,0.052905645
2488,2022,2488_000000248823000047_amd-20221231.htm.txt,0.028122155,0.016470386,0.030520905,0.033058643,0.04086634,0.02940679,0.037396267,0.059572324,0.049696196,0.042286478,0.11305632,0.014404189,0.09122888,0.043091785,0.058488153,0.07544853,0.009781824,0.04736981,0.1377886,0.04194543
2969,2022,2969_000000296922000054_apd-20220930.htm.txt,0.027929703,0.011344924,0.07084462,0.014956912,0.097320765,0.0109875165,0.04049481,0.026118048,0.09290731,0.047754623,0.043146435,0.015305626,0.08158248,0.032613497,0.095585324,0.07313938,0.012314312,0.055510525,0.094818935,0.055324223
3197,2022,3197_000095017023006169_ceco-20221231.htm.txt,0.023148693,0.015754873,0.05568218,0.021347346,0.05214226,0.019018644,0.02905803,0.059385728,0.0820912,0.060934134,0.11005487,0.024939734,0.10827041,0.018595159,0.05111822,0.054292683,0.009620163,0.037792634,0.11538483,0.051368207
3453,2022,3453_000155837023001961_matx-20221231x10k.htm.txt,0.029322658,0.042577628,0.061781514,0.018963747,0.05567064,0.020104984,0.06503826,0.03610577,0.049241472,0.060766943,0.07345748,0.025362073,0.06682311,0.011181738,0.05438153,0.044998247,0.03343396,0.06268186,0.131671,0.05643543
3499,2022,3499_000000349923000005_alx-20221231.htm.txt,0.058733355,0.018932665,0.04188904,0.019181104,0.044300504,0.010849306,0.03487512,0.032245476,0.024913931,0.08189198,0.021047262,0.014955933,0.061162267,0.04631547,0.051190186,0.025007553,0.03269424,0.09860043,0.20721623,0.07399793
3545,2022,3545_000095017022026459_alco-20220930.htm.txt,0.045466434,0.014288567,0.058208413,0.007850335,0.10969625,0.012838786,0.030355705,0.029341174,0.04245021,0.058651827,0.05351547,0.06581466,0.061468676,0.031587496,0.038837105,0.042624027,0.018851455,0.06325267,0.15754665,0.057354115
4127,2022,4127_000000412722000038_swks-20220930.htm.txt,0.0411627,0.018052677,0.038275383,0.024603724,0.045309495,0.027077898,0.03521756,0.078086756,0.07403599,0.057421844,0.07652034,0.013335233,0.062286146,0.04531526,0.04768308,0.06422565,0.008153404,0.04586288,0.15925185,0.038122173
4904,2022,4904_000000490423000011_aep-20221231.htm.txt,0.041795794,0.019741941,0.08211961,0.034186922,0.10167372,0.019355116,0.020886943,0.018696997,0.0789186,0.112521075,0.033138737,0.030245593,0.08156145,0.021879794,0.052486114,0.038106523,0.013424815,0.06887782,0.04999545,0.08038702
4977,2022,4977_000000497723000055_afl-20221231.htm.txt,0.03594498,0.033515114,0.10408748,0.017601673,0.030999018,0.00861158,0.016722066,0.034549236,0.02811287,0.044380505,0.0458795,0.020625021,0.08711144,0.015284894,0.11998462,0.05233367,0.050226256,0.12837031,0.089648105,0.03601166
5513,2022,5513_000000551323000034_unm-20221231.htm.txt,0.031084932,0.037459068,0.09194215,0.016666828,0.068422765,0.015623626,0.021687247,0.032142654,0.0031562694,0.04468101,0.042738054,0.021666057,0.14034195,0.01167542,0.074429944,0.054149557,0.07811699,0.11314288,0.07590591,0.02496671
5981,2022,5981_000095017023008438_avd-20221231.htm.txt,0.03486552,0.029179402,0.05609027,0.011111284,0.042849004,0.03441961,0.035635807,0.043652587,0.051897556,0.112707265,0.03744005,0.029826114,0.09981442,0.033229377,0.062621675,0.076611266,0.015001519,0.03792447,0.06299185,0.09213096
6176,2022,6176_000095017023008972_ap-20221231.htm.txt,0.055459436,0.025990315,0.07688928,0.012664596,0.05091278,0.013942255,0.03464826,0.017799256,0.06252535,0.06477125,0.04131122,0.020719813,0.10473722,0.031146673,0.094517685,0.053623833,0.032829884,0.058757845,0.09649432,0.050258763
6201,2022,6201_000000620123000018_aal-20221231.htm.txt,0.045642212,0.031900324,0.051584862,0.020461041,0.043314505,0.013373501,0.041866414,0.035485554,0.04855596,0.093365796,0.048009135,0.044490602,0.05032851,0.034449495,0.047817234,0.043534644,0.028939366,0.09008427,0.13409604,0.052700512
6951,2022,6951_000000695122000043_amat-20221030.htm.txt,0.024406986,0.020067312,0.056746125,0.015837282,0.06453961,0.017857848,0.029467301,0.057688788,0.06945381,0.045111082,0.0850752,0.018460993,0.082666144,0.08257086,0.060363438,0.07136171,0.0098703625,0.044465613,0.10685678,0.03713278
7332,2022,7332_000000733223000005_swn-20221231.htm.txt,0.050966986,0.035931006,0.06137121,0.013249513,0.07123159,0.012292818,0.018212574,0.041285694,0.1272905,0.08237425,0.041977353,0.025634654,0.09500641,0.018399881,0.045679387,0.03680236,0.010506697,0.06388554,0.11241565,0.035485927
7536,2022,7536_000185964423000005_arw-20221231.htm.txt,0.029890435,0.018714353,0.06432973,0.01773431,0.032740258,0.015022017,0.039215714,0.04916244,0.040475372,0.051265832,0.08066822,0.024675284,0.10989493,0.01671581,0.07463453,0.08064467,0.012107775,0.053111095,0.13329224,0.055704977
7623,2022,7623_000143774923003620_artw20221130_10k.htm.txt,0.04610087,0.032732166,0.048459593,0.010309626,0.07897514,0.022891244,0.044291705,0.04253589,0.07451343,0.049737282,0.07490985,0.03341538,0.06979894,0.012266771,0.004594855,0.108245015,0.012048118,0.047660347,0.02652852,0.15998521
8063,2022,8063_000000806323000015_atro-20221231.htm.txt,0.022852447,0.0267386,0.05057388,0.018706806,0.07828164,0.022030089,0.03120618,0.046522267,0.03881101,0.043433957,0.038173538,0.018890558,0.09721181,0.030035304,0.04834828,0.06936112,0.018346101,0.07410607,0.13251512,0.09385522
8146,2022,8146_000119312523103662_d415415d10k.htm.txt,0.017946307,0.025044037,0.04839759,0.027167792,0.069724105,0.020598475,0.025202323,0.04002061,0.054368,0.051851183,0.07909404,0.025174763,0.12424501,0.019016925,0.060428254,0.078293994,0.012203389,0.04100976,0.12616676,0.054046683
8858,2022,8858_000000885822000031_avt-20220702x10k.htm.txt,0.035278622,0.021076245,0.058080442,0.019788448,0.06857408,0.015343533,0.029645596,0.04218209,0.032987606,0.044255674,0.09012189,0.017887343,0.09256535,0.010486008,0.09770173,0.065850765,0.024797756,0.054990944,0.110277906,0.06810793
8868,2022,8868_000000886823000005_avp-20221231.htm.txt,0.026079109,0.018839054,0.072126426,0.018371914,0.055924527,0.014236857,0.060795546,0.05333162,0.028359251,0.041505046,0.063214645,0.016755214,0.063064106,0.027637245,0.0962895,0.08570135,0.0143907005,0.037172385,0.15771377,0.048491772
8947,2022,8947_000000894723000042_azz-20230228.htm.txt,0.056892984,0.026948163,0.061147712,0.01069666,0.076965086,0.015960919,0.021525707,0.046683606,0.03597964,0.036912464,0.08101975,0.03191927,0.10482181,0.026498543,0.063699566,0.026788168,0.014267644,0.086410955,0.12899642,0.04586495
9326,2022,9326_000162828023005074_bcpc-20221231.htm.txt,0.025875552,0.020515343,0.08779311,0.018555993,0.03833585,0.035178315,0.024724057,0.050370064,0.06365574,0.055022478,0.074730396,0.028718906,0.098266914,0.026057722,0.05688533,0.05146033,0.025283698,0.05540236,0.1187875,0.04438037
10254,2022,10254_000001025423000058_este-20221231.htm.txt,0.056992367,0.029296344,0.044822335,0.014492655,0.052323658,0.010703252,0.026938532,0.032766044,0.15982392,0.110633954,0.027781006,0.039410107,0.087929316,0.025616357,0.045064766,0.024163296,0.009555677,0.04596521,0.12585145,0.029869722
10329,2022,10329_000143774923001642_bset20230109_10k.htm.txt,0.026520774,0.018713905,0.08311464,0.012327512,0.057708565,0.015307295,0.053159382,0.02531963,0.050072357,0.03425669,0.06482433,0.033133924,0.15259612,0.016742405,0.04244649,0.120276704,0.015525564,0.030968387,0.06883231,0.07815306
10456,2022,10456_000162828023002864_bax-20221231.htm.txt,0.028061034,0.011797199,0.05541844,0.022777207,0.057120726,0.060491733,0.03341324,0.05439861,0.03865859,0.068960026,0.06937578,0.02302185,0.106150195,0.0240731,0.06091832,0.05099097,0.030661222,0.040640604,0.12062891,0.042442225
12040,2022,12040_000117494723000017_form10k-29127_bdl.htm.txt,0.028221816,0.024089744,0.036939505,0.029945767,0.08718318,0.00946588,0.033769816,0.042449873,0.059827212,0.046438903,0.043879382,0.030784981,0.026547106,0.034976132,0.018558731,0.07475781,0.027877625,0.076167755,0.21994393,0.048174847
